+-------------------------------------------------------------------------------------+--------------------------------------+------------------------------------+--------+------------------+
|                                       MODULE                                        |               VERSION                |            NEW VERSION             | DIRECT | VALID TIMESTAMPS |
| github.com/gogo/protobuf                                                            | v1.3.2                               |                                    | false  | true             |
| github.com/gogo/status                                                              | v1.1.0                               | v1.1.1                             | false  | true             |
| github.com/golang-jwt/jwt/v5                                                        | v5.3.1                               |                                    | false  | true             |
| github.com/golang/glog                                                              | v1.2.5                               |                                    | false  | true             |
| github.com/golang/groupcache                                                        | v0.0.0-20210331224755-41bb18bfe9da   | v0.0.0-20241129210726-2c02b8208cf8 | false  | true             |
| github.com/golang/protobuf                                                          | v1.5.4                               |                                    | false  | true             |
| github.com/golang/snappy                                                            | v1.0.0                               |                                    | false  | true             |
| github.com/golangci/asciicheck                                                      | v0.5.0                               |                                    | false  | true             |
| github.com/golangci/dupl                                                            | v0.0.0-20260401084720-c99c5cf5c202   |                                    | false  | true             |
| github.com/golangci/go-printf-func-name                                             | v0.1.1                               |                                    | false  | true             |
| github.com/golangci/gofmt                                                           | v0.0.0-20250106114630-d62b90e6713d   | v0.0.0-20251215234548-e7be49a5ab4d | false  | true             |
| github.com/golangci/golangci-lint/v2                                                | v2.12.2                              |                                    | false  | true             |
| github.com/golangci/golines                                                         | v0.15.0                              |                                    | false  | true             |
| github.com/golangci/misspell                                                        | v0.8.0                               |                                    | false  | true             |
| github.com/golangci/plugin-module-register                                          | v0.1.2                               |                                    | false  | true             |
| github.com/golangci/revgrep                                                         | v0.8.0                               |                                    | false  | true             |
| github.com/golangci/rowserrcheck                                                    | v0.0.0-20260419091836-c5f79b8a11ba   | v0.0.0-20260801150524-d2031e3af752 | false  | true             |
| github.com/golangci/swaggoswag                                                      | v0.0.0-20250504205917-77f2aca3143e   |                                    | false  | true             |
| github.com/golangci/unconvert                                                       | v0.0.0-20250410112200-a129a6e6413e   |                                    | false  | true             |
| github.com/google/btree                                                             | v1.1.3                               |                                    | false  | true             |
| github.com/google/go-cmp                                                            | v0.7.0                               |                                    | false  | true             |
| github.com/google/go-pkcs11                                                         | v0.3.0                               |                                    | false  | true             |
| github.com/google/go-querystring                                                    | v1.2.0                               |                                    | false  | true             |
| github.com/google/martian/v3                                                        | v3.3.3                               |                                    | false  | true             |
| github.com/google/s2a-go                                                            | v0.1.9                               |                                    | false  | true             |
| github.com/google/uuid                                                              | v1.6.0                               |                                    | true   | true             |
